Words,Amount
намагаючись,17
наших,17
об,17
повернувся,17
проказав,17
смерті,17
спокій,17
цій,17
читати,17
вранці,16
губи,16
денгем,16
дощ,16
запитала,16
знає,16
книжка,16
кінець,16
либонь,16
ліжку,16
має,16
мовила,16
мусить,16
навіщо,16
нікого,16
очей,16
папуга,16
почув,16
разу,16
ранку,16
руками,16
серце,16
смерть,16
стало,16
старого,16
стояли,16
сів,16
томас,16
фабера,16
фелпс,16
хвилину,16
хочете,16
іноді,16
боултон,15
будинки,15
вода,15
вулицю,15
вуста,15
вуха,15
вчора,15
гроші,15
давай,15
доведеться,15
же,15
запам,15
зробив,15
кишені,15
коло,15
кімнату,15
машини,15
механічний,15
мною,15
можуть,15
новий,15
повз,15
своїм,15
сказали,15
сонця,15
спальні,15
стінах,15
чоловіків,15
чудово,15
чули,15
їхні,15
бачили,14
вниз,14
водночас,14
всім,14
відповідь,14
відповіла,14
гори,14
грошей,14
дружину,14
дрілл,14
жінок,14
зрозумів,14
йшли,14
ласкаво,14
маленький,14
марса,14
можете,14
мозок,14
мої,14
місця,14
місяця,14
незабаром,14
однаково,14
одним,14
озирнувся,14
ото,14
пильно,14
почали,14
при,14
проти,14
прошу,14
підійшов,14
пітьмі,14
разів,14
решта,14
роботу,14
своєю,14
своїй,14
світлі,14
сер,14
стали,14
таким,14
такого,14
тиші,14
трубку,14
хвилини,14
хотіла,14
чоло,14
їхніх,14
автомобілі,13
багатьох,13
батько,13
будинків,13
ваш,13
вгору,13
вночі,13
волосся,13
все-таки,13
вся,13
вторгнення,13
дарма,13
двадцять,13
дедалі,13
дивись,13
досі,13
еттіла,13
земля,13
зробили,13
каплун,13
кивнув,13
кого,13
кожному,13
крім,13
кінці,13
людини,13
могла,13
можемо,13
місце,13
навколо,13
наш,13
неба,13
пальці,13
побачити,13
потрібні,13
пролунав,13
простяг,13
підлогу,13
піт,13
ракету,13
розмовляти,13
руці,13
самий,13
своєму,13
світу,13
спалити,13
татуся,13
тобою,13
холлісе,13
цим,13
цікаво,13
часом,13
читав,13
швидше,13
бомби,12
будуть,12
будь,12
видно,12
випустив,12
всього,12
вухо,12
відказав,12
вікно,12
гей,12
години,12
голови,12
дай,12
двох,12
дерев,12
дивитися,12
жовті,12
замість,12
звідки,12
земляни,12
знайти,12
кав,12
кинувся,12
механічного,12
минуло,12
моїх,12
мчали,12
нами,12
ногами,12
ніяк,12
он,12
останній,12
очах,12
падає,12
певен,12
перш,12
повинні,12
позаду,12
порожнечу,12
почала,12
принаймні,12
пішов,12
раніше,12
сльози,12
сорок,12
сталося,12
станції,12
сторінки,12
страх,12
стіл,12
тім,12
усього,12
уїлле,12
хода,12
цілу,12
шкода,12
якось,12
автомобіль,11
багаття,11
бауелс,11
бачу,11
боявся,11
вдома,11
вогні,11
вітру,11
га,11
голові,11
голосно,11
гра,11
дверях,11
дзижчання,11
долинув,11
еплгейт,11
жили,11
жити,11
жінку,11
з-під,11
замовк,11
заплющив,11
збагнути,11
здалося,11
зірки,11
квіти,11
кинув,11
книжках,11
коли-небудь,11
крикнув,11
лежав,11
лужок,11
між,11
назви,11
назустріч,11
написав,11
нахилився,11
нові,11
ногу,11
падали,11
папугу,11
паста,11
погляд,11
подвір,11
поліція,11
потрібна,11
початку,11
почувся,11
працювати,11
пригадати,11
прислухався,11
підвів,11
пізніше,11
роки,11
річка,11
річку,11
само,11
своєї,11
сигнал,11
спочатку,11
тривоги,11
тримаючи,11
уперед,11
хочеться,11
чекав,11
чудовий,11
яке,11
якісь,11
ідіть,11
іншого,11
ішов,11
бачите,10
ваше,10
величезна,10
величезний,10
вельми,10
вертольоти,10
вечора,10
вигляд,10
вогнем,10
водою,10
впала,10
всьому,10
всю,10
відказала,10
говорили,10
давайте,10
дверима,10
джо,10
допомогти,10
доторкнувся,10
дурні,10
е,10
екран,10
залишилося,10
замовкніть,10
звідти,10
здивовано,10
зелені,10
знають,10
знаємо,10
зубна,10
йти,10
казала,10
капітан,10
клітки,10
клітку,10
кудись,10
кінця,10
кістки,10
ласка,10
листя,10
любий,10
мав,10
менше,10
мерщій,10
метро,10
миті,10
моря,10
мушу,10
мчав,10
мільйон,10
місці,10
місяці,10
нашого,10
небі,10
ніяких,10
однієї,10
останні,10
отут,10
папуги,10
перший,10
подивіться,10
пожежник,10
поклав,10
прийшли,10
промовила,10
просимо,10
прочитав,10
підлозі,10
піду,10
пізно,10
піти,10
пітьму,10
пішли,10
раймундо,10
робота,10
розмовляв,10
розуму,10
рук,10
рука,10
рушив,10
самому,10
світлом,10
скажи,10
спокою,10
сім,10
таку,10
телефон,10
третя,10
тротуару,10
тіла,10
хвилю,10
чим,10
чогось,10
швидкість,10
швидкістю,10
якої,10
ґанку,10
апарат,9
бачити,9
бога,9
бодай,9
вашу,9
ваші,9
взяв,9
випадок,9
воду,9
впродовж,9
вусі,9
війни,9
війну,9
вітальня,9
гнів,9
десяти,9
диму,9
добраніч,9
домі,9
другу,9
друзі,9
друзів,9
думати,9
думаєте,9
душу,9
дід,9
заради,9
зберегти,9
звуки,9
землею,9
знайшов,9
знищити,9
зітхнув,9
колінах,9
купи,9
кіно,9
лежала,9
люба,9
людьми,9
літ,9
майдані,9
минулого,9
мчить,9
назавжди,9
називається,9
нараз,9
ніг,9
обережно,9
обов,9
око,9
парку,9
паче,9
побачиш,9
повіки,9
подався,9
помирати,9
порожні,9
потрібен,9
пощастить,9
приємно,9
підборіддя,9
підемо,9
радіо,9
робив,9
родина,9
родичі,9
розумію,9
різні,9
саму,9
сиділа,9
скажіть,9
склянку,9
слухайте,9
сміх,9
спасибі,9
старі,9
тиждень,9
трапилося,9
тінь,9
узяв,9
ходу,9
цілком,9
чую,9
шерех,9
широко,9
щасливий,9
якесь,9
якогось,9
якому,9
яносто,9
інший,9
іншим,9
ї,9
їсти,9
бачиш,8
буває,8
будемо,8
білі,8
ваших,8
велике,8
великі,8
весело,8
вийшла,8
вийшли,8
витяг,8
внизу,8
вогнища,8
вперше,8
враження,8
всесвіт,8
втекти,8
вулицях,8
вулфа,8
відтоді,8
відчуваючи,8
вірю,8
гаю,8
гелен,8
глузду,8
горло,8
дайте,8
дати,8
двоє,8
дивний,8
дрож,8
другого,8
другій,8
думає,8
дідька,8
ер,8
живе,8
жодного,8
забула,8
залишається,8
засміялася,8
звук,8
звуків,8
землян,8
зрозуміти,8
йшов,8
кожного,8
країні,8
кричати,8
куба,8
кімната,8
легко,8
людину,8
лілеї,8
майбутньому,8
маклелен,8
металу,8
минуле,8
мовляв,8
мого,8
містом,8
нагорі,8
надворі,8
настане,8
обоє,8
одній,8
оті,8
ох,8
пан,8
перша,8
повернутися,8
поглядом,8
подивитися,8
подружжя,8
помер,8
попіл,8
порожня,8
посеред,8
послухайте,8
поїзд,8
працював,8
професор,8
прочитати,8
півгодини,8
піде,8
розумієте,8
рот,8
ріг,8
самих,8
секунд,8
сеньйоре,8
слів,8
слідом,8
смішно,8
сон,8
сонцем,8
спав,8
спати,8
спитав,8
спить,8
схопив,8
так-так,8
татусь,8
тижня,8
тобто,8
ту,8
тікати,8
хлопець,8
хочуть,8
хусткою,8
цілий,8
чом,8
що-небудь,8
ю,8
яким,8
ям,8
яті,8
ятій,8
інакше,8
інше,8
ґанок,8
бах,7
бог,7
божевільний,7
боултоне,7
боюся,7
бракує,7
будинком,7
буду,7
будьте,7
біг,7
бік,7
білий,7
білле,7
варто,7
ввечері,7
велика,7
величезні,7
взагалі,7
взяти,7
вибіг,7
вигляду,7
вигукнула,7
вогню,7
впав,7
всередині,7
всього-на-всього,7
всій,7
вулиця,7
відбулося,7
відчинив,7
відчуття,7
віконце,7
гасом,7
ген,7
глянула,7
годі,7
голка,7
голова,7
готовий,7
грав,7
грець,7
гуркіт,7
дбайливо,7
двісті,7
дерево,7
дивиться,7
дитинстві,7
дихання,7
дна,7
довгий,7
доларів,7
долинав,7
долонею,7
дощем,7
дощу,7
думка,7
дякую,7
дівчину,7
жив,7
живий,7
живуть,7
жоден,7
забути,7
закричала,7
залежить,7
зв,7
здригнувся,7
змінити,7
знайдуть,7
знали,7
зрештою,7
йду,7
ймення,7
казали,7
кольору,7
кора,7
коро,7
космосі,7
котру,7
край,7
крп,7
леспір,7
летить,7
лиця,7
людям,7
лібре,7
ліжка,7
мали,7
марсіанські,7
маю,7
меблі,7
мертвий,7
минулому,7
мовчанка,7
можеш,7
музика,7
мільйонів,7
навздогін,7
навряд,7
насправді,7
наступного,7
нашу,7
неймовірно,7
несе,7
нещасний,7
нову,7
ногою,7
номер,7
нібито,7
ніс,7
нічний,7
ніщо,7
одному,7
одразу,7
одяг,7
оркестр,7
ось-ось,7
падав,7
падати,7
палити,7
паперу,7
пахне,7
пельку,7
передпокої,7
плакав,7
по-справжньому,7
повернувшись,7
повно,7
поворухнувся,7
повторив,7
повторила,7
подумати,7
подушку,7
пожежної,7
пожежі,7
померла,7
порожнечі,7
послухай,7
почати,7
права,7
прислухаючись,7
пір,7
реактивні,7
решето,7
решітку,7
рота,7
році,7
саду,7
своїми,7
світла,7
сем,7
син,7
синку,7
скажу,7
слухай,7
спалили,7
стане,7
стис,7
стоун,7
страшенно,7
стілець,7
стільці,7
сходах,7
схоже,7
таксі,7
твоє,7
твої,7
тишу,7
тож,7
траві,7
триста,7
трьох,7
тіні,7
упав,7
фільм,7
хвиля,7
холодна,7
холодно,7
хотіли,7
чорного,7
чорт,7
шепотів,7
щастя,7
щез,7
щоках,7
щільно,7
якою,7
ясно,7
ятаю,7
історії,7
іще,7
їхніми,7
алло,6
антоніо,6
бажання,6
бачить,6
безперечно,6
березі,6
блек,6
боку,6
брати,6
будувати,6
біле,6
білого,6
більшість,6
валізи,6
ван,6
вбити,6
вдалині,6
вела,6
велетенські,6
вечір,6
взявся,6
вибратися,6
вибухнув,6
видовище,6
високо,6
вистава,6
власне,6
вогник,6
волі,6
восени,6
воювати,6
встиг,6
втупився,6
вуст,6
вухах,6
відразу,6
вікном,6
віскі,6
вісім,6
вічно,6
гай,6
гарно,6
гас,6
гасу,6
говорив,6
говорити,6
говорить,6
годині,6
голосом,6
готові,6
грали,6
грюкнули,6
гукнув,6
девід,6
дивна,6
дивне,6
диктора,6
дихати,6
добрий,6
довелося,6
дороги,6
дорогу,6
достоту,6
другом,6
другому,6
другої,6
думаєш,6
думку,6
дурний,6
екрані,6
енн,6
енна,6
жахливо,6
жаху,6
живі,6
жила,6
загасити,6
залишатися,6
залишиться,6
замислено,6
запала,6
засунув,6
збирався,6
звали,6
звати,6
знання,6
зробила,6
зроблю,6
зупинилися,6
и,6
камені,6
камери,6
каналу,6
квітів,6
кивнула,6
клариси,6
книжками,6
когось,6
кожну,6
коротка,6
космос,6
крик,6
кричить,6
крові,6
кроків,6
кульку,6
куля,6
купа,6
легенько,6
лице,6
люблю,6
ліг,6
ліжко,6
майстерні,6
маленькі,6
мама,6
мамцю,6
мер,6
мертва,6
миттю,6
мовчали,6
могло,6
намагається,6
наставник,6
натовп,6
нахилившись,6
нашому,6
невдовзі,6
незнайомець,6
ненавиджу,6
нехай,6
нова,6
нового,6
обличчям,6
обличчі,6
останню,6
пальцем,6
пальцями,6
перестань,6
перетнув,6
перші,6
пив,6
писати,6
побачення,6
побачивши,6
побачить,6
повернув,6
повернула,6
поволі,6
повторював,6
погано,6
подав,6
подивись,6
подумала,6
пожежника,6
помовчав,6
помре,6
попереду,6
порожнеча,6
порожній,6
поступово,6
почнеться,6
пощастило,6
правильно,6
правою,6
прилетіли,6
приміром,6
приходять,6
приїхав,6
проковтнув,6
прошепотіла,6
підняв,6
пісок,6
ракет,6
речей,6
робили,6
робимо,6
родичів,6
розглядав,6
розмова,6
розмовляли,6
розповісти,6
розумієш,6
роман,6
рухаються,6
ручку,6
рівні,6
різних,6
саламандра,6
самим,6
свистом,6
сидіти,6
сини,6
сині,6
скажеш,6
скла,6
слабкий,6
слухати,6
спершу,6
сподівався,6
спосіб,6
справи,6
старим,6
стати,6
стежив,6
стелю,6
столу,6
столі,6
століття,6
сторінку,6
суничне,6
сусіднього,6
сухий,6
схожі,6
т,6
такою,6
такої,6
тату,6
телевізор,6
телевізійні,6
темряву,6
темряві,6
торкнувся,6
трава,6
трейвіс,6
третій,6
трубці,6
тут-таки,6
тілло,6
униз,6
унизу,6
хвилі,6
хлопці,6
ходити,6
холодний,6
холодного,6
холодну,6
хто-небудь,6
частина,6
часів,6
чекали,6
чиясь,6
чоловіком,6
чорні,6
чужинці,6
чула,6
шалений,6
шепіт,6
школі,6
шлях,6
шукати,6
шістдесят,6
щезли,6
язок,6
якими,6
ярні,6
ятати,6
ятого,6
ємо,6
іншому,6
їхав,6
їхню,6
be,5
ану,5
безшумно,5
берег,5
береги,5
берегом,5
бик,5
бліді,5
боултона,5
брандмейстера,5
брате,5
бувало,5
буди,5
будь-якої,5
бюро,5
бібліотеки,5
бігли,5
біла,5
білу,5
важка,5
валізу,5
ваша,5
вважає,5
ввійшли,5
вдарив,5
вдієш,5
великий,5
велику,5
величезного,5
вибух,5
вийти,5
вимовити,5
вино,5
вип,5
високі,5
вистежити,5
висіли,5
виття,5
виходу,5
вихід,5
владу,5
восьмий,5
воїни,5
всюди,5
втомився,5
втікати,5
втім,5
вхідних,5
вхідні,5
відстані,5
відчайдушно,5
відчинилися,5
відчуваю,5
військовий,5
віку,5
вірші,5
галас,5
ганьба,5
глибині,5
глибоко,5
головне,5
голосу,5
горить,5
готелю,5
грудях,5
гучномовець,5
дав,5
давно-давно,5
дверцята,5
десятків,5
дещо,5
деякі,5
дивні,5
диктор,5
диктує,5
димом,5
диміли,5
доводиться,5
дозвольте,5
докупи,5
долинали,5
долоню,5
доторк,5
дроту,5
дружиною,5
дружині,5
думала,5
думали,5
душі,5
діло,5
дістав,5
екрана,5
жар,5
живу,5
житті,5
жодної,5
завдяки,5
заговорив,5
задзвонив,5
закінчиться,5
залишився,5
залишилася,5
залишилися,5
залишитися,5
запахи,5
запахом,5
запахів,5
запитати,5
засміялися,5
заткни,5
затінку,5
збагнув,5
згорів,5
здавався,5
здоровий,5
зелену,5
змова,5
зміг,5
знай,5
знань,5
значення,5
значить,5
зникла,5
зупинилась,5
кажете,5
квапливо,5
квартали,5
келих,5
кларо,5
клубок,5
клітка,5
кліткою,5
кожна,5
корабель,5
краплина,5
криком,5
кричала,5
крісло,5
кількох,5
кістяк,5
лагідно,5
легені,5
лежить,5
леспіре,5
людині,5
лівою,5
ліниво,5
літаки,5
літо,5
майбутнього,5
мала,5
маленькому,5
мандри,5
марсіанин,5
марсіанське,5
мають,5
мертві,5
мимохіть,5
мови,5
мозку,5
монтегове,5
монтегом,5
море,5
музики,5
мчала,5
мчать,5
мільйони,5
міс,5
місті,5
місячним,5
нагадувати,5
надумали,5
назва,5
назвати,5
назовні,5
наше,5
нашої,5
незграбно,5
нове,5
нога,5
ніде,5
ніякого,5
обізвався,5
оглушливий,5
одно,5
оком,5
опустив,5
опівдні,5
освітлений,5
останніх,5
осінній,5
отих,5
пагорби,5
падають,5
папір,5
певна,5
певні,5
перепитав,5
перестав,5
перехопило,5
першого,5
пирхнув,5
пленк,5
пливе,5
по-твоєму,5
побачила,5
побіг,5
повернути,5
повертатися,5
погляду,5
поглянув,5
поговоримо,5
подивилася,5
подиву,5
подумайте,5
подумки,5
події,5
позадкував,5
помчала,5
поодинці,5
пора,5
пори,5
порох,5
посередині,5
поспіль,5
постелі,5
потроху,5
похитав,5
почалося,5
почуття,5
прекрасна,5
привезли,5
пригорщу,5
прилад,5
притис,5
приїхали,5
пробачте,5
провулок,5
прокинувся,5
проковтнула,5
простір,5
проте,5
птиця,5
підеш,5
піч,5
пішла,5
ради,5
ракеті,5
ревіння,5
риби,5
робите,5
розваг,5
розділ,5
розмови,5
розпалювати,5
рядки,5
рідлі,5
різними,5
самотній,5
сигарети,5
сигарету,5
скажімо,5
скло,5
скоїлося,5
смак,5
сні,5
сніг,5
собаки,5
сором,5
справа,5
стала,5
станція,5
стоунмен,5
страшно,5
ступнув,5
стімсоне,5
стін,5
стіні,5
судомно,5
схожа,5
схожий,5
схопився,5
схопили,5
сідайте,5
сімса,5
таблетки,5
також,5
твій,5
темне,5
течії,5
тижні,5
тисячу,5
тихше,5
тома,5
торкаючись,5
тремтячи,5
тремтіли,5
тримав,5
тримайтеся,5
трупа,5
тунелю,5
тупіт,5
тілом,5
уперше,5
уряд,5
усміхаючись,5
усміхнувся,5
усмішка,5
учора,5
уявити,5
уїльяма,5
фабером,5
фейєрверк,5
фільмів,5
хворий,5
хлопчик,5
хмари,5
холодне,5
хустку,5
часто,5
часі,5
чекати,5
чекаючи,5
червоними,5
черевики,5
черепашка,5
чийсь,5
чисто,5
чола,5
чомусь,5
чорне,5
чорний,5
чудова,5
чудовиська,5
чути,5
шалено,5
шию,5
шлунок,5
шматок,5
шолом,5
щоки,5
щоночі,5
ють,5
язково,5
якихось,5
якість,5
ята,5
ятаєш,5
яти,5
єдиний,5
єса,5
іди,5
інколи,5
іншу,5
іти,5
їхній,5
si,4
автомобільні,4
автомобілях,4
ага,4
ат,4
атомні,4
ах,4
аякже,4
бабуся,4
балакали,4
барабани,4
бару,4
батьки,4
безглуздо,4
безгучно,4
безпеці,4
берега,4
благав,4
бліде,4
бомба,4
бомбардувальники,4
боягуз,4
бояться,4
брехня,4
бубон,4
будеш,4
бігла,4
бігти,4
білих,4
ваговоз,4
важкий,4
вашого,4
вашому,4
вашої,4
ввійшов,4
вголос,4
великих,4
великій,4
величезну,4
вентиляційну,4
вестибюль,4
виблиски,4
вибухи,4
вибухнули,4
вибір,4
виграти,4
вийде,4
вийшло,4
викликає,4
вимовив,4
виник,4
випити,4
виразно,4
вирішив,4
висмикнув,4
вистрілив,4
виходить,4
власним,4
вогнемет,4
вогнемета,4
впали,4
впало,4
всередину,4
встигнеш,4
втупившись,4
втікає,4
вхопив,4
вчепився,4
відбиток,4
відважні,4
відвернувся,4
відвів,4
віддати,4
відповідав,4
відповідаю,4
відповісти,4
відсунув,4
відчуває,4
відчула,4
відчуттів,4
відьми,4
вісімдесят,4
віталень,4
вітальнях,4
галасували,4
гарний,4
гарні,4
говорила,4
говорять,4
годинника,4
голодна,4
голосніше,4
голосів,4
горах,4
горбів,4
горіння,4
грудей,4
груди,4
губами,4
губах,4
гудіння,4
гуло,4
гуляти,4
гуркотом,4
давніх,4
далекому,4
дали,4
двадцяти,4
дванадцять,4
двома,4
двічі,4
дехто,4
дзвін,4
дзеркало,4
дивилась,4
дивляться,4
дивним,4
диво,4
диск,4
дитина,4
довга,4
довше,4
дозволив,4
дозвілля,4
доки,4
долини,4
долоні,4
долі,4
допоможуть,4
дорога,4
доторкнутися,4
друг,4
дрібні,4
дув,4
думаючи,4
думками,4
дух,4
дівчини,4
дідько,4
дітям,4
діяти,4
діє,4
екклезіаст,4
жадібно,4
жаль,4
жах,4
жахливе,4
жбурнув,4
жердину,4
живемо,4
жовтих,4
журнали,4
завгодно,4
заволав,4
заграв,4
загрожує,4
задихаючись,4
зайшов,4
закоханий,4
закричати,4
залишити,4
заперечив,4
записати,4
засичавши,4
заспокойся,4
застиг,4
застигли,4
затамував,4
затишно,4
захотілося,4
зачинив,4
зачудовано,4
збираються,4
звикли,4
звичайний,4
зводив,4
звір,4
звіра,4
згадував,4
згасли,4
зграя,4
здавалось,4
здивувався,4
здійнявся,4
зелена,4
зелених,4
земні,4
зирнув,4
зйомки,4
злітали,4
змарнував,4
зможе,4
знайде,4
знайшли,4
знала,4
зневажливо,4
зникли,4
зображення,4
зрозуміли,4
зріст,4
зуби,4
зупинилася,4
зупинитися,4
зустрілися,4
зустрічі,4
ие,4
йде,4
йдемо,4
йди,4
йдіть,4
йшла,4
кажучи,4
калатало,4
кам,4
камінь,4
каркас,4
кинула,4
кинулася,4
клацнув,4
кляті,4
клітці,4
кожне,4
коктейлем,4
коктейль,4
колишніх,4
колір,4
кому,4
кордова,4
користь,4
кортить,4
краватку,4
краплини,4
кращий,4
країни,4
кричали,4
кричать,4
кроки,4
кронах,4
круг,4
купити,4
купу,4
кутку,4
кухні,4
кухоль,4
ладен,4
лейтенанте,4
лора,4
лужку,4
любить,4
люблять,4
людиною,4
люка,4
лікарні,4
ліктя,4
ліпше,4
майбутнє,4
майдан,4
маленької,4
маленькій,4
мамусю,4
марно,4
марсіанам,4
марсіанська,4
маєте,4
метався,4
метелики,4
метеорит,4
минула,4
мову,4
мовчав,4
морква,4
моєї,4
моїй,4
моїм,4
мусив,4
мусимо,4
мідну,4
містах,4
містечко,4
місту,4
місяців,4
місячне,4
набагато,4
навсібіч,4
навіки,4
нагадувала,4
нагадували,4
нагадувало,4
надвір,4
надзвичайно,4
надумав,4
називали,4
найбільше,4
найбільший,4
налетів,4
напад,4
напевне,4
написати,4
напоготові,4
наприкінці,4
народження,4
наступних,4
натис,4
нашим,4
нашій,4
небезпека,4
невідривно,4
негайно,4
неголосно,4
недобре,4
неквапливо,4
неможливо,4
нервово,4
неспокійно,4
ночами,4
ночей,4
нью-йорк,4
нічим,4
нічне,4
нічного,4
нічну,4
нічній,4
обернеться,4
обернувся,4
обидва,4
облич,4
облиште,4
обох,4
обід,4
озвався,4
означає,4
оператор,4
оповідання,4
опустився,4
опівночі,4
осені,4
оскільки,4
останнього,4
останньої,4
отруту,4
охопив,4
оці,4
падаючи,4
пак,4
палають,4
палає,4
пахло,4
певний,4
передпокій,4
переказу,4
перетворився,4
перетворюються,4
печерах,4
пилу,4
писав,4
плакала,4
плакати,4
план,4
планета,4
планету,4
плечах,4
плече,4
плоть,4
пляшечку,4
пневматичний,4
побудували,4
побудувати,4
побігла,4
поважно,4
повертається,4
повинен,4
поводився,4
повів,4
повітрям,4
погоні,4
подалися,4
подив,4
подивитись,4
подобається,4
подолати,4
поезія,4
пожежником,4
познайомитися,4
показав,4
показати,4
помацав,4
помилився,4
попередні,4
попросив,4
порозі,4
порух,4
поставили,4
постояв,4
постіль,4
потис,4
потом,4
потрібне,4
потрібний,4
похитуючись,4
почало,4
почитати,4
почне,4
почнемо,4
поїдемо,4
поїхав,4
привітався,4
придумати,4
прийти,4
прийшов,4
причини,4
прищепити,4
пробач,4
провину,4
пройшов,4
проказала,4
пронизливо,4
простору,4
професора,4
професоре,4
прочинилися,4
прощай,4
прощайте,4
пустелі,4
південь,4
півроку,4
підло,4
підлоги,4
підійшла,4
піском,4
піску,4
радіоприймач,4
радість,4
решту,4
робиться,4
робиш,4
роблять,4
роботі,4
рожеві,4
роз,4
розв,4
розмов,4
розум,4
розумів,4
роками,4
роль,4
руйнувати,4
рух,4
рушниці,4
рядок,4
